2024-06-07T08:18:08.924Z info: Connected to DB and listening to port: 8000
2024-06-07T08:18:11.319Z info: Connected to DB and listening to port: 8000
2024-06-07T08:18:13.281Z info: Connected to DB and listening to port: 8000
2024-06-07T08:18:15.310Z info: Connected to DB and listening to port: 8000
2024-06-07T08:18:18.077Z info: Connected to DB and listening to port: 8000
2024-06-07T08:18:27.636Z info: Connected to DB and listening to port: 8000
2024-06-07T08:19:38.983Z info: Connected to DB and listening to port: 8000
2024-06-07T08:19:47.572Z info: Connected to DB and listening to port: 8000
2024-06-07T08:19:50.420Z info: Connected to DB and listening to port: 8000
2024-06-07T08:19:53.114Z info: Connected to DB and listening to port: 8000
2024-06-07T08:19:55.059Z info: Connected to DB and listening to port: 8000
2024-06-07T08:20:09.326Z info: Connected to DB and listening to port: 8000
2024-06-07T08:20:15.751Z info: Connected to DB and listening to port: 8000
2024-06-07T08:20:16.873Z info: Connected to DB and listening to port: 8000
2024-06-07T08:20:18.225Z info: Connected to DB and listening to port: 8000
2024-06-07T08:20:35.361Z info: Connected to DB and listening to port: 8000
2024-06-07T08:20:47.807Z info: Connected to DB and listening to port: 8000
2024-06-07T08:20:51.015Z info: Connected to DB and listening to port: 8000
2024-06-07T08:20:55.708Z info: Connected to DB and listening to port: 8000
2024-06-07T08:21:00.519Z info: Connected to DB and listening to port: 8000
2024-06-07T08:21:03.588Z info: Connected to DB and listening to port: 8000
2024-06-07T08:21:05.841Z info: Connected to DB and listening to port: 8000
2024-06-07T08:21:08.779Z info: Connected to DB and listening to port: 8000
2024-06-07T08:21:14.291Z info: Connected to DB and listening to port: 8000
2024-06-07T08:21:17.149Z info: Connected to DB and listening to port: 8000
2024-06-07T08:21:20.052Z info: Connected to DB and listening to port: 8000
2024-06-07T08:21:25.304Z info: Connected to DB and listening to port: 8000
2024-06-07T08:22:44.962Z info: Connected to DB and listening to port: 8000
2024-06-07T08:22:46.309Z info: Connected to DB and listening to port: 8000
2024-06-07T08:22:50.152Z info: Connected to DB and listening to port: 8000
2024-06-07T08:22:59.024Z info: Connected to DB and listening to port: 8000
2024-06-07T08:23:00.375Z info: Connected to DB and listening to port: 8000
2024-06-07T08:23:01.754Z info: Connected to DB and listening to port: 8000
2024-06-07T08:23:03.417Z info: Connected to DB and listening to port: 8000
2024-06-07T08:23:05.568Z info: Connected to DB and listening to port: 8000
2024-06-07T08:23:07.589Z info: Connected to DB and listening to port: 8000
2024-06-07T08:23:09.225Z info: Connected to DB and listening to port: 8000
2024-06-07T08:23:11.590Z info: Connected to DB and listening to port: 8000
2024-06-07T08:23:15.702Z info: Connected to DB and listening to port: 8000
2024-06-07T08:24:19.649Z info: Connected to DB and listening to port: 8000
2024-06-07T08:24:24.367Z info: Connected to DB and listening to port: 8000
2024-06-07T08:24:26.632Z info: Connected to DB and listening to port: 8000
2024-06-07T08:24:30.057Z info: Connected to DB and listening to port: 8000
2024-06-07T08:24:33.568Z info: Connected to DB and listening to port: 8000
2024-06-07T08:25:33.207Z info: Connected to DB and listening to port: 8000
2024-06-07T08:25:39.133Z info: Connected to DB and listening to port: 8000
2024-06-07T08:25:42.477Z info: Connected to DB and listening to port: 8000
2024-06-07T08:25:44.566Z info: Connected to DB and listening to port: 8000
2024-06-07T08:25:53.405Z info: Connected to DB and listening to port: 8000
2024-06-07T08:25:56.892Z info: Connected to DB and listening to port: 8000
2024-06-07T08:26:01.727Z info: Connected to DB and listening to port: 8000
2024-06-07T08:26:05.490Z info: Connected to DB and listening to port: 8000
2024-06-07T08:26:08.041Z info: Connected to DB and listening to port: 8000
2024-06-07T08:28:28.404Z info: Connected to DB and listening to port: 8000
2024-06-07T08:28:32.339Z info: Connected to DB and listening to port: 8000
2024-06-07T08:28:38.147Z info: Connected to DB and listening to port: 8000
2024-06-07T08:28:38.988Z info: Connected to DB and listening to port: 8000
2024-06-07T08:28:44.344Z info: Connected to DB and listening to port: 8000
2024-06-07T08:31:44.462Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:11.668Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:16.164Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:19.496Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:21.641Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:26.582Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:28.682Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:33.952Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:37.172Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:45.064Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:47.239Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:54.417Z info: Connected to DB and listening to port: 8000
2024-06-07T08:32:56.661Z info: Connected to DB and listening to port: 8000
2024-06-07T08:33:20.568Z info: Connected to DB and listening to port: 8000
2024-06-07T08:33:22.688Z info: Connected to DB and listening to port: 8000
2024-06-07T08:33:30.427Z info: Connected to DB and listening to port: 8000
2024-06-07T08:33:35.614Z info: Connected to DB and listening to port: 8000
2024-06-07T08:33:37.649Z info: Connected to DB and listening to port: 8000
2024-06-07T08:33:40.483Z info: Connected to DB and listening to port: 8000
2024-06-07T08:33:44.450Z info: Connected to DB and listening to port: 8000
2024-06-07T08:33:45.889Z info: Connected to DB and listening to port: 8000
2024-06-07T08:34:05.639Z info: Connected to DB and listening to port: 8000
2024-06-07T08:34:08.435Z info: Connected to DB and listening to port: 8000
2024-06-07T08:34:09.652Z info: Connected to DB and listening to port: 8000
2024-06-07T08:34:15.234Z info: Connected to DB and listening to port: 8000
2024-06-07T08:34:16.528Z info: Connected to DB and listening to port: 8000
2024-06-07T08:34:21.469Z info: Connected to DB and listening to port: 8000
2024-06-07T08:34:34.903Z info: Connected to DB and listening to port: 8000
2024-06-07T08:34:44.613Z info: Connected to DB and listening to port: 8000
2024-06-07T08:34:46.459Z info: Connected to DB and listening to port: 8000
2024-06-07T08:34:53.034Z info: Connected to DB and listening to port: 8000
2024-06-07T08:34:55.987Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:03.439Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:04.440Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:07.677Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:11.566Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:14.009Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:15.794Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:18.307Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:19.423Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:25.074Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:26.096Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:36.070Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:40.798Z info: Connected to DB and listening to port: 8000
2024-06-07T08:35:42.723Z info: Connected to DB and listening to port: 8000
2024-06-07T08:36:06.026Z info: Connected to DB and listening to port: 8000
2024-06-07T08:36:19.510Z info: Connected to DB and listening to port: 8000
2024-06-07T08:36:47.555Z info: Connected to DB and listening to port: 8000
2024-06-07T08:37:07.715Z info: Connected to DB and listening to port: 8000
2024-06-07T08:37:50.060Z info: /api/product/
2024-06-07T08:37:50.061Z info: Fetching Products
2024-06-07T08:37:50.071Z info: Products: 
2024-06-07T08:39:51.011Z info: /api/product/
2024-06-07T08:41:58.697Z info: /api/product/
2024-06-07T08:44:22.144Z info: Connected to DB and listening to port: 8000
2024-06-07T08:44:33.851Z info: /api/product/
2024-06-07T08:45:00.605Z info: Connected to DB and listening to port: 8000
2024-06-07T08:45:30.287Z info: /api/product/
2024-06-07T13:33:33.139Z info: Connected to DB and listening to port: 8000
2024-06-07T13:33:43.922Z info: Connected to DB and listening to port: 8000
